Sum of libdem_vdem_owid,Column Labels,
TKM,0.039,0.039
Turkmenistan,0.039,0.039
TLS,0.51,0.51
East Timor,0.51,0.51
TTO,0.642,0.642
Trinidad and Tobago,0.642,0.642
TUN,0.633,0.633
Tunisia,0.633,0.633
TUR,0.115,0.115
Turkey,0.115,0.115
TWN,0.729,0.729
Taiwan,0.729,0.729
TZA,0.34,0.34
Tanzania,0.34,0.34
UGA,0.218,0.218
Uganda,0.218,0.218
UKR,0.301,0.301
Ukraine,0.301,0.301
URY,0.816,0.816
Uruguay,0.816,0.816
USA,0.722,0.722
United States,0.722,0.722
UZB,0.078,0.078
Uzbekistan,0.078,0.078
VEN,0.069,0.069
Venezuela,0.069,0.069
VNM,0.108,0.108
Vietnam,0.108,0.108
VUT,0.649,0.649
Vanuatu,0.649,0.649
YEM,0.042,0.042
Yemen,0.042,0.042
ZAF,0.601,0.601
South Africa,0.601,0.601
ZMB,0.278,0.278
Zambia,0.278,0.278
ZWE,0.201,0.201
Zimbabwe,0.201,0.201
(blank),3.02762749,3.02762749
Africa,0.2924643,0.2924643
Asia,0.26434693,0.26434693
Europe,0.64568293,0.64568293
North America,0.4698,0.4698
Oceania,0.562,0.562
Palestine/Gaza,0.079,0.079
Palestine/West Bank,0.202,0.202
South America,0.51233333,0.51233333
Grand Total,75.52193477,75.52193477
